FFT分析结果 - 三次样条插值法
==================================================
采样率: 1000 Hz
FFT点数: 2048
频率分辨率: 0.488281 Hz

原始频率: 4.882812 Hz
二次抛物线插值频率: 4.906552 Hz
三次样条插值频率: 4.898639 Hz

二次插值与原始频率差异: 0.023740 Hz
三次样条与原始频率差异: 0.015827 Hz
两种插值法差异: 0.007913 Hz

频率-幅度数据:
Frequency(Hz)	Magnitude
0.00	2322540.000000
0.49	27438.513127
0.98	26046.690923
1.46	30894.567435
1.95	33871.376622
2.44	38548.523466
2.93	42786.391731
3.42	60564.381694
3.91	85038.629248
4.39	150181.162081
4.88	718256.690311
5.37	250868.048512
5.86	105919.140238
6.35	66571.846350
6.84	45949.590367
7.32	41054.685036
7.81	32984.087653
8.30	27770.747541
8.79	23118.140791
9.28	23756.071578
9.77	20672.206618
10.25	18820.669998
10.74	16714.168803
11.23	19304.237591
11.72	17443.531330
12.21	17292.582792
12.70	16922.062631
13.18	24279.343019
13.67	25698.322296
14.16	35448.853716
14.65	73420.745414
15.14	243568.489984
15.62	41277.344279
16.11	21669.023417
16.60	14191.448120
17.09	15090.969730
17.58	9229.292367
18.07	7405.926630
18.55	6124.876718
19.04	7743.958030
19.53	4380.776866
20.02	3651.139370
20.51	3075.134560
21.00	4612.983508
21.48	2055.362796
21.97	2388.311219
22.46	3246.237842
22.95	3082.581206
23.44	9527.595776
23.93	14646.221263
24.41	28499.629086
24.90	134228.145261
25.39	62762.747725
25.88	27350.982644
26.37	17724.619298
26.86	11449.894229
27.34	13790.298244
27.83	10743.670327
28.32	8975.663512
28.81	7143.461714
29.30	9025.751135
29.79	7317.199362
30.27	6422.304412
30.76	5400.067639
31.25	7426.015214
31.74	5830.172703
32.23	5334.316688
32.71	4530.353763
33.20	9464.095147
33.69	7796.101757
34.18	10498.255038
34.67	22661.867914
35.16	110049.412536
35.64	17761.164108
36.13	10384.973585
36.62	7627.604376
37.11	10538.700440
37.60	5888.123698
38.09	5184.877536
38.57	4615.419522
39.06	6650.617897
39.55	3873.394914
40.04	3593.688634
40.53	3553.840499
41.02	5140.496094
41.50	2953.738261
41.99	3019.240868
42.48	3347.793521
42.97	3882.531647
43.46	6983.375174
43.95	9380.439816
44.43	17192.753047
44.92	71311.495315
45.41	39852.773813
45.90	16530.406489
46.39	10621.562782
46.88	6515.871397
47.36	9237.987470
47.85	6855.691946
48.34	5639.030009
48.83	4731.452499
49.32	5993.567850
49.80	4698.986257
50.29	4119.959609
50.78	3776.707545
51.27	4569.346274
51.76	3410.133835
52.25	3083.668291
52.73	2773.594992
53.22	5607.642100
53.71	3049.813608
54.20	3833.539546
54.69	8981.018184
55.18	73065.053436
55.66	10735.349328
56.15	6959.952224
56.64	5572.447752
57.13	8993.758321
57.62	4681.962530
58.11	4267.631685
58.59	4166.240757
59.08	6076.567485
59.57	3460.535330
60.06	3546.460148
60.55	3667.875977
61.04	5059.433422
61.52	3283.018812
62.01	3468.664311
62.50	3718.835947
62.99	4251.882192
63.48	6659.778215
63.96	8201.569194
64.45	13408.098933
64.94	47531.646845
65.43	30265.129428
65.92	11731.019141
66.41	7298.161537
66.89	4687.121938
67.38	6857.912073
67.87	4920.758040
68.36	4310.295580
68.85	3942.713801
69.34	4272.466209
69.82	3551.368362
70.31	3342.213538
70.80	3421.614779
71.29	3062.484741
71.78	2538.188149
72.27	2665.824823
72.75	2792.485001
73.24	3577.536049
73.73	1230.755396
74.22	893.011236
74.71	2838.905689
75.20	55402.636150
75.68	7190.661734
76.17	5162.207306
76.66	4454.209604
77.15	7997.257509
77.64	3716.465143
78.12	3690.442461
78.61	3696.905880
79.10	5682.729221
79.59	3282.195622
80.08	3483.097938
80.57	3483.333887
81.05	4710.735559
81.54	3601.083003
82.03	3705.896633
82.52	3882.674409
83.01	4173.038154
83.50	6756.953210
83.98	7726.382940
84.47	11554.760037
84.96	35264.041741
85.45	24850.729957
85.94	8743.705198
86.43	5231.153115
86.91	3872.005661
87.40	5393.320452
87.89	3763.165692
88.38	3355.510703
88.87	3485.732392
89.36	3238.509259
89.84	2904.117949
90.33	2834.146893
90.82	3218.437890
91.31	1894.592690
91.80	2297.313367
92.29	2602.923397
92.77	2927.287271
93.26	2635.364795
93.75	1312.001660
94.24	1428.981237
94.73	388.072531
95.21	44762.671826
95.70	4753.952848
96.19	4006.936715
96.68	3643.670293
97.17	7090.861027
97.66	3129.379211
98.14	3427.777971
98.63	3361.760772
99.12	5060.527877
99.61	3021.322063
