Original dominant frequency: 4.885198 Hz
Interpolated frequency: 4.906201 Hz
Frequency difference: 0.021003 Hz
Interpolation delta: 0.042992
Improvement: 0.4299%

Top 5 frequencies:
  1. 4.89 Hz (Magnitude: 711.63)
  2. 5.37 Hz (Magnitude: 238.20)
  3. 15.14 Hz (Magnitude: 232.74)
  4. 4.40 Hz (Magnitude: 149.12)
  5. 24.91 Hz (Magnitude: 137.50)

Frequency(Hz)	Magnitude
0.00	2285.626771
0.49	31.101364
0.98	29.673616
1.47	34.437900
1.95	37.268702
2.44	41.487261
2.93	45.231900
3.42	62.553132
3.91	86.027266
4.40	149.118978
4.89	711.632038
5.37	238.195129
5.86	99.573392
6.35	61.921253
6.84	42.388131
7.33	37.856269
7.82	30.500345
8.30	25.849112
8.79	21.499626
9.28	22.620031
9.77	19.988864
10.26	18.523402
10.75	16.867260
11.24	19.866325
11.72	18.488752
12.21	18.874299
12.70	19.052837
13.19	26.771067
13.68	29.137527
14.17	39.833503
14.66	80.705685
15.14	232.744198
15.63	38.563292
16.12	18.264190
16.61	10.279744
17.10	11.016595
17.59	5.076534
18.08	3.225515
18.56	1.759748
19.05	3.554495
19.54	0.143255
20.03	0.674678
20.52	1.351154
21.01	0.359414
21.49	3.240097
21.98	3.971095
22.47	5.071475
22.96	3.252729
23.45	11.146028
23.94	15.976559
24.43	29.041989
24.91	137.502633
25.40	54.236049
25.89	23.093928
26.38	14.594266
26.87	8.624296
27.36	11.513014
27.85	8.782844
28.33	7.341789
28.82	5.384626
29.31	8.039705
29.80	6.754832
30.29	6.050708
30.78	5.083806
31.27	8.240950
31.75	6.948915
32.24	6.803995
32.73	6.417843
33.22	12.742795
33.71	11.875243
34.20	15.856827
34.68	31.296596
35.17	101.450008
35.66	15.235352
36.15	6.997903
36.64	3.606003
37.13	6.429292
37.62	1.876276
38.10	0.986368
38.59	0.440287
39.08	2.566709
39.57	0.302922
40.06	0.622531
40.55	0.952573
41.04	1.227869
41.52	2.165592
42.01	2.388420
42.50	2.920490
42.99	0.465504
43.48	7.244857
43.97	9.595972
44.46	17.058612
44.94	75.026519
45.43	32.480026
45.92	13.444258
46.41	8.093584
46.90	3.736599
47.39	7.461165
47.87	5.206162
48.36	4.282291
48.85	2.590153
49.34	5.565666
49.83	4.100019
50.32	3.602461
50.81	2.634872
51.29	5.843284
51.78	4.230973
52.27	4.136213
52.76	3.299795
53.25	9.432451
53.74	7.450868
54.23	9.438528
54.71	17.938631
55.20	65.534002
55.69	8.804868
56.18	3.830245
56.67	1.890098
57.16	5.274029
57.65	1.016113
58.13	0.452317
58.62	0.122461
59.11	2.419957
59.60	0.449178
60.09	0.681739
60.58	0.676474
61.06	1.316349
61.55	1.861014
62.04	2.018814
62.53	2.151171
63.02	0.562378
63.51	5.853146
64.00	7.319711
64.48	12.658180
64.97	51.143903
65.46	23.939336
65.95	9.398137
66.44	5.377375
66.93	1.742812
67.42	5.918667
67.90	3.932450
68.39	2.911436
68.88	1.486703
69.37	4.303615
69.86	2.886712
70.35	2.368558
70.84	1.508833
71.32	4.763612
71.81	3.138468
72.30	2.766681
72.79	2.050811
73.28	7.787861
73.77	5.407287
74.26	6.536584
74.74	11.889913
75.23	48.419071
75.72	5.551081
76.21	2.287059
76.70	0.957420
77.19	4.629810
77.67	0.539840
78.16	0.127749
78.65	0.081584
79.14	2.305229
79.63	0.550591
80.12	0.703034
80.61	0.560647
81.09	1.406862
81.58	1.607821
82.07	1.677472
82.56	1.493276
83.05	1.223633
83.54	5.261473
84.03	6.076762
84.51	9.952891
85.00	38.348943
85.49	19.381966
85.98	7.395176
86.47	4.013985
86.96	0.741122
87.45	4.990090
87.93	3.001738
88.42	2.157605
88.91	0.860431
89.40	3.737432
89.89	2.326688
90.38	1.880454
90.86	0.932459
91.35	4.071382
91.84	2.282413
92.33	1.981256
92.82	1.259850
93.31	7.056338
93.80	4.033789
94.28	4.758626
94.77	8.299201
95.26	38.697766
95.75	3.700991
96.24	1.412732
96.73	0.580946
97.22	4.138118
97.70	0.218123
98.19	0.156848
98.68	0.201266
99.17	2.117042
99.66	0.724528
100.15	0.791157
100.64	0.472421
101.12	1.521113
101.61	1.570327
102.10	1.513282
102.59	1.447084
103.08	1.443799
103.57	4.970434
104.05	5.429883
104.54	8.582446
105.03	30.573532
105.52	16.633996
106.01	5.938362
106.50	3.104138
106.99	0.273108
107.47	4.459886
107.96	2.465133
108.45	1.706008
108.94	0.388489
109.43	3.502970
109.92	1.974772
110.41	1.421255
110.89	0.544507
111.38	3.776336
111.87	1.933774
112.36	1.488405
112.85	0.834445
113.34	6.606864
113.83	3.387018
114.31	3.656615
114.80	5.960100
115.29	32.315206
115.78	2.533595
116.27	0.877311
116.76	0.181940
117.24	3.857161
117.73	0.088126
118.22	0.237366
118.71	0.148121
119.20	2.097309
119.69	0.735963
120.18	0.584007
120.66	0.390227
121.15	1.647125
121.64	1.523895
122.13	1.354150
122.62	1.250161
123.11	1.731815
123.60	4.752042
124.08	4.913821
124.57	7.480801
125.06	25.044893
125.55	14.742897
126.04	5.072392
126.53	2.451774
127.02	0.305041
127.50	4.072057
127.99	2.058589
128.48	1.401371
128.97	0.072191
129.46	3.179787
129.95	1.569516
130.43	1.144416
130.92	0.284497
131.41	3.445535
131.90	1.768608
132.39	1.213181
132.88	0.476096
133.37	6.090016
133.85	2.690316
134.34	2.879866
134.83	4.288422
135.32	27.755001
135.81	1.641376
136.30	0.569020
136.79	0.101521
137.27	3.671093
137.76	0.191969
138.25	0.207368
138.74	0.313297
139.23	1.999600
139.72	0.737496
140.21	0.609442
140.69	0.451534
141.18	1.607298
141.67	1.596937
142.16	1.266837
142.65	0.976597
143.14	1.960735
143.62	4.602519
144.11	4.569152
144.60	6.779711
145.09	21.187171
145.58	13.318966
146.07	4.405886
146.56	2.010955
147.04	0.280118
147.53	3.839037
148.02	1.785620
148.51	1.092607
149.00	0.040964
149.49	3.034019
149.98	1.331410
150.46	0.787135
150.95	0.239023
151.44	3.290531
151.93	1.323664
152.42	1.047776
152.91	0.283258
153.40	6.119305
153.88	2.098607
154.37	2.209450
154.86	3.169267
155.35	24.303770
155.84	1.103707
156.33	0.337968
156.81	0.167393
157.30	3.569268
157.79	0.279592
158.28	0.338206
158.77	0.191552
159.26	1.988383
159.75	0.858697
160.23	0.604377
160.72	0.375871
161.21	1.590066
161.70	1.671845
162.19	1.232827
162.68	0.860496
163.17	2.027315
163.65	4.651406
164.14	4.295613
164.63	6.111799
165.12	18.181658
165.61	12.132140
166.10	3.818752
166.59	1.553639
167.07	0.562800
167.56	3.689066
168.05	1.703321
168.54	0.899915
169.03	0.181936
169.52	2.807555
170.00	1.244584
170.49	0.822992
170.98	0.061240
171.47	3.168881
171.96	1.193391
172.45	0.859637
172.94	0.167093
173.42	5.865439
173.91	1.783448
174.40	1.648417
174.89	2.196872
175.38	21.740647
175.87	0.502354
176.36	0.135514
176.84	0.188188
177.33	3.425797
177.82	0.424467
178.31	0.334157
178.80	0.245506
179.29	1.904168
179.78	0.856677
180.26	0.617990
180.75	0.413573
181.24	1.708573
181.73	1.588408
182.22	1.141694
182.71	0.826829
183.19	2.193562
183.68	4.649478
184.17	4.088426
184.66	5.685106
185.15	15.834483
185.64	11.332914
186.13	3.369690
186.61	1.310464
187.10	0.731746
187.59	3.506849
188.08	1.354911
188.57	0.825641
189.06	0.121189
189.55	2.743933
190.03	0.956661
190.52	0.635463
191.01	0.053588
191.50	3.100801
191.99	1.105682
192.48	0.562644
192.97	0.138998
193.45	5.704175
193.94	1.358775
194.43	1.229053
194.92	1.400863
195.41	19.719038
195.90	0.109931
196.38	0.067335
196.87	0.148384
197.36	3.267699
197.85	0.481987
198.34	0.331590
198.83	0.128457
199.32	1.899863
199.80	0.930166
200.29	0.540863
200.78	0.368164
201.27	1.650993
201.76	1.674146
202.25	1.034147
202.74	0.617981
203.22	2.290064
203.71	4.765489
204.20	3.863464
204.69	5.206014
205.18	13.805195
205.67	10.713564
206.16	2.957824
206.64	1.080588
207.13	0.835860
207.62	3.420540
208.11	1.199116
208.60	0.568108
209.09	0.230896
209.57	2.621206
210.06	0.910380
210.55	0.440779
211.04	0.123335
211.53	3.068262
212.02	0.911060
212.51	0.492319
212.99	0.022454
213.48	5.753678
213.97	1.029848
214.46	0.859351
214.95	0.766439
215.44	17.889696
215.93	0.192099
216.41	0.151024
216.90	0.054680
217.39	3.220071
217.88	0.567177
218.37	0.408857
218.86	0.244865
219.35	1.878200
219.83	0.925358
220.32	0.565442
220.81	0.290685
221.30	1.589345
221.79	1.662234
222.28	0.972147
222.77	0.488583
223.25	2.248653
223.74	4.846763
224.23	3.822265
224.72	4.902077
225.21	12.261989
225.70	10.105193
226.18	2.674653
226.67	0.862031
227.16	0.773989
227.65	3.308588
228.14	1.127591
228.63	0.447397
229.12	0.350400
229.60	2.640910
230.09	0.844479
230.58	0.459484
231.07	0.286593
231.56	2.939110
232.05	0.671684
232.54	0.359528
233.02	0.076717
233.51	5.817539
234.00	0.828845
234.49	0.547169
234.98	0.395503
235.47	16.398093
235.96	0.459808
236.44	0.194670
236.93	0.077351
237.42	3.098695
237.91	0.754602
238.40	0.393241
238.89	0.131185
239.37	1.879906
239.86	1.055467
240.35	0.493215
240.84	0.328507
241.33	1.628841
241.82	1.584350
242.31	0.994327
242.79	0.468998
243.28	2.152218
243.77	4.914586
244.26	3.685781
244.75	4.609304
245.24	10.957174
245.73	9.674740
246.21	2.409295
246.70	0.747898
247.19	0.771339
247.68	3.245528
248.17	1.034112
248.66	0.347195
249.15	0.254841
249.63	2.654236
250.12	0.686719
250.61	0.392046
251.10	0.171678
251.59	2.822620
252.08	0.555672
252.56	0.292344
253.05	0.092969
253.54	5.692520
254.03	0.573736
254.52	0.187133
255.01	0.122300
255.50	15.219129
255.98	0.817930
256.47	0.322602
256.96	0.056201
257.45	3.001804
257.94	0.760798
258.43	0.405817
258.92	0.164763
259.40	1.865946
259.89	0.890899
260.38	0.606893
260.87	0.090080
261.36	1.594478
261.85	1.796717
262.34	0.962504
262.82	0.347332
263.31	2.275773
263.80	4.973219
264.29	3.489976
264.78	4.346004
265.27	9.867592
265.75	9.215760
266.24	2.215068
266.73	0.653772
267.22	0.880423
267.71	3.243283
268.20	0.820942
268.69	0.258909
269.17	0.221639
269.66	2.562344
270.15	0.554472
270.64	0.281026
271.13	0.140714
271.62	2.966919
272.11	0.495785
272.59	0.246232
273.08	0.195882
273.57	5.672569
274.06	0.337153
274.55	0.121492
275.04	0.491064
275.53	14.219444
276.01	1.085025
276.50	0.321245
276.99	0.046188
277.48	2.919780
277.97	0.817784
278.46	0.409693
278.94	0.060565
279.43	1.896955
279.92	1.188894
280.41	0.460282
280.90	0.137547
281.39	1.647408
281.88	1.842761
282.36	0.958300
282.85	0.286504
283.34	2.292592
283.83	5.236063
284.32	3.390392
284.81	4.079923
285.30	8.852195
285.78	8.846569
286.27	1.857333
286.76	0.476466
287.25	0.850341
287.74	3.068960
288.23	0.812097
288.72	0.274742
289.20	0.438047
289.69	2.499803
290.18	0.502389
290.67	0.203228
291.16	0.071059
291.65	2.836753
292.13	0.329209
292.62	0.105342
293.11	0.089646
293.60	5.767535
294.09	0.045418
294.58	0.224694
295.07	0.736362
295.55	13.185280
296.04	1.123732
296.53	0.386727
297.02	0.065931
297.51	2.814977
298.00	0.850217
298.49	0.438635
298.97	0.143834
299.46	1.805902
299.95	1.158046
300.44	0.531028
300.93	0.057361
301.42	1.691347
301.91	1.791554
302.39	0.844044
302.88	0.186694
303.37	2.197608
303.86	5.334263
304.35	3.498732
304.84	3.857892
305.32	7.963877
305.81	8.514989
306.30	1.723444
306.79	0.435687
307.28	0.889960
307.77	3.172851
308.26	0.828013
308.74	0.286319
309.23	0.397466
309.72	2.594350
310.21	0.506551
310.70	0.123736
311.19	0.136927
311.68	2.798448
312.16	0.349341
312.65	0.090212
313.14	0.036621
313.63	5.864493
314.12	0.243959
314.61	0.397142
315.10	1.194508
315.58	12.422642
316.07	1.296685
316.56	0.461910
317.05	0.181644
317.54	2.852543
318.03	0.859422
318.51	0.358718
319.00	0.081129
319.49	1.817726
319.98	1.199187
320.47	0.479142
320.96	0.077888
321.45	1.719373
321.93	1.756462
322.42	0.840864
322.91	0.184567
323.40	2.291065
323.89	5.509875
324.38	3.302117
324.87	3.638756
325.35	7.239586
325.84	8.252192
326.33	1.506621
326.82	0.356999
327.31	0.749955
327.80	3.104906
328.29	0.638205
328.77	0.121712
329.26	0.266590
329.75	2.456339
330.24	0.386607
330.73	0.160701
331.22	0.211612
331.70	2.856629
332.19	0.200265
332.68	0.091982
333.17	0.017128
333.66	5.951933
334.15	0.578379
334.64	0.603078
335.12	1.298252
335.61	11.718242
336.10	1.419210
336.59	0.421975
337.08	0.083170
337.57	2.840883
338.06	0.940415
338.54	0.445841
339.03	0.076524
339.52	1.790745
340.01	1.163193
340.50	0.459290
340.99	0.044527
341.48	1.664044
341.96	1.964789
342.45	0.823078
342.94	0.112486
343.43	2.347661
343.92	5.688231
344.41	3.150959
344.89	3.496787
345.38	6.426321
345.87	8.040490
346.36	1.454737
346.85	0.286273
347.34	0.727912
347.83	3.042310
348.31	0.530551
348.80	0.148341
349.29	0.299768
349.78	2.579600
350.27	0.262054
350.76	0.165524
351.25	0.153414
351.73	2.871548
352.22	0.028648
352.71	0.039031
353.20	0.078713
353.69	5.892332
354.18	0.756980
354.67	0.851958
355.15	1.472852
355.64	10.983478
356.13	1.579882
356.62	0.466708
357.11	0.106654
357.60	2.700357
358.09	1.059818
358.57	0.365083
359.06	0.108461
359.55	1.750477
360.04	1.271386
360.53	0.423432
361.02	0.069685
361.50	1.489203
361.99	2.037109
362.48	0.720962
362.97	0.052452
363.46	2.287656
363.95	5.924605
364.44	3.158141
364.92	3.344169
365.41	5.837801
365.90	7.739559
366.39	1.221435
366.88	0.165584
367.37	0.762240
367.86	3.104807
368.34	0.405842
368.83	0.089491
369.32	0.322150
369.81	2.425814
370.30	0.270146
370.79	0.044513
371.28	0.075944
371.76	2.897397
372.25	0.093843
372.74	0.111232
373.23	0.123599
373.72	5.899168
374.21	1.034311
374.69	1.045105
375.18	1.642847
375.67	10.435273
376.16	1.626597
376.65	0.435566
377.14	0.144515
377.63	2.655621
378.11	1.132090
378.60	0.398674
379.09	0.104609
379.58	1.696741
380.07	1.208388
380.56	0.302998
381.05	0.126151
381.53	1.594852
382.02	2.095812
382.51	0.709112
383.00	0.129468
383.49	2.302451
383.98	6.136401
384.47	3.006598
384.95	3.029597
385.44	5.289213
385.93	7.545040
386.42	1.169674
386.91	0.145390
387.40	0.725240
387.88	3.083044
388.37	0.385633
388.86	0.095513
389.35	0.261197
389.84	2.395237
390.33	0.235116
390.82	0.062319
391.30	0.107814
391.79	2.872652
392.28	0.132111
392.77	0.100829
393.26	0.065159
393.75	6.030422
394.24	1.269181
394.72	1.270181
395.21	1.902712
395.70	9.886297
396.19	1.775930
396.68	0.363383
397.17	0.236071
397.66	2.577368
398.14	1.242151
398.63	0.377669
399.12	0.190475
399.61	1.652969
400.10	1.471204
400.59	0.429415
401.07	0.059172
401.56	1.502918
402.05	2.189898
402.54	0.669495
403.03	0.055380
403.52	2.293196
404.01	6.429748
404.49	2.947797
404.98	2.919076
405.47	4.850298
405.96	7.396849
406.45	0.970624
406.94	0.120401
407.43	0.713405
407.91	3.068801
408.40	0.417684
408.89	0.101969
409.38	0.153715
409.87	2.495002
410.36	0.144952
410.85	0.108358
411.33	0.085339
411.82	2.954760
412.31	0.142040
412.80	0.080377
413.29	0.185513
413.78	6.213763
414.26	1.538930
414.75	1.410208
415.24	2.056334
