FFT幅度数据分析结果
==================================================

采样率: 1000 Hz
FFT长度: 2048
频率分辨率: 0.488281 Hz
平均功率: 33423.79
检测阈值: 133695.17

检测到的峰值频率（前5个）:
--------------------------------------------------
1. 频率: 4.904716 Hz, 幅度: 722069.25, 插值偏移量: 0.044858
2. 频率: 15.110186 Hz, 幅度: 236387.14, 插值偏移量: -0.054339

频率-幅度数据（1-50Hz范围）:
--------------------------------------------------
频率(Hz)	幅度
1.46	37408.742188
1.95	41436.273438
2.44	40657.937500
2.93	45241.671875
3.42	67732.726563
3.91	90221.093750
4.39	150426.046875
4.88	722069.250000
5.37	244551.828125
5.86	104282.898438
6.35	67202.500000
6.84	41930.593750
7.32	36609.578125
7.81	34182.117188
8.30	28329.619141
8.79	18895.386719
9.28	22684.539063
9.77	23856.062500
10.25	18741.511719
10.74	13766.292969
11.23	21804.679688
11.72	21710.382813
12.21	16762.847656
12.70	17062.343750
13.18	29834.421875
13.67	30171.933594
14.16	35380.679688
14.65	76941.476563
15.14	236387.140625
15.62	38059.113281
16.11	20395.875000
16.60	8375.883789
17.09	8096.340820
17.58	7323.515625
18.07	5191.978516
18.55	2467.821533
19.04	4009.919922
19.53	3043.538574
20.02	3710.477295
20.51	5322.072266
21.00	3385.468994
21.48	2053.709229
21.97	7351.161133
22.46	8476.417969
22.95	2273.058838
23.44	11470.011719
23.93	20788.619141
24.41	31784.390625
24.90	133362.765625
25.39	59843.187500
25.88	21953.474609
26.37	17621.419922
26.86	12158.466797
27.34	9917.456055
27.83	7665.359375
28.32	10855.563477
28.81	7433.080566
29.30	4986.561523
29.79	7638.190918
30.27	9545.894531
30.76	5107.782715
31.25	5486.068848
31.74	9234.943359
32.23	9387.898438
32.71	3910.603027
33.20	11210.408203
33.69	14335.939453
34.18	15067.325195
34.67	23370.394531
35.16	105234.390625
35.64	9984.783203
36.13	7907.632813
36.62	5888.654297
37.11	4210.780762
37.60	2842.240723
38.09	3836.073242
38.57	3395.587646
39.06	1525.365234
39.55	3645.117676
40.04	2165.012451
40.53	4125.839844
41.02	3022.048096
41.50	2984.545654
41.99	2446.955566
42.48	6581.965332
42.97	4236.402344
43.46	5372.141602
43.95	10840.869141
44.43	22175.300781
44.92	72558.414063
45.41	41485.636719
45.90	13908.948242
46.39	6369.403809
46.88	7049.334473
47.36	10595.070313
47.85	3052.318359
48.34	4517.905762
48.83	6130.926758
49.32	6823.100586
49.80	679.427795
